x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
-19.0,-0.1498772,0.9887046,9.850122,5.9887047,-9.850122,0.1498772,-0.9971722,0.27938655,1.9774092,2.847667,-19.0,-55.0,-43.0,19.0,12.5,361.0,-361.0,722.0,371.0,256.0,-6859.0,6859.0,6859.0,-13718.0,-20572.0,-4913.0,9261.0,-6878.0,-6498.0,-7576.0,19.0,4.358899,19.131126,0.8276596,9.0,95.0,-19.0,-1.1385819,360.85013,840.0113,-38.07494,38.49435,2.944439,-0.008403362,12.944439,5.247024,-5.247024,-0.07409214,0.1498772,0.8353145
-18.9,-0.050422687,0.998728,9.949577,5.998728,-9.949577,0.050422687,-0.99968195,-0.80255306,1.997456,0.9529888,-18.9,-54.7,-42.8,18.9,12.45,357.21,-357.21,714.42,367.21,252.81,-6751.269,6751.269,6751.269,-13502.538,-20248.807,-4826.809,9129.329,-6770.169,-6394.059,-7460.689,18.9,4.347413,19.031815,0.94703484,8.9,94.5,-18.9,-1.0491507,357.15958,834.21124,-37.82521,38.299362,2.939162,-0.008410429,12.939162,5.241747,-5.241747,-0.025179274,0.050422687,0.840783
-18.8,0.04953564,0.9987724,10.049536,5.998772,-10.049536,-0.04953564,-0.99969304,0.9999414,1.9975448,-0.93127006,-18.8,-54.4,-42.6,18.8,12.4,353.44,-353.44,706.88,363.44,249.64,-6644.672,6644.672,6644.672,-13289.344,-19929.016,-4741.632,8998.912,-6663.472,-6291.232,-7346.552,18.8,4.3358965,18.932512,1.0470818,8.8,94.0,-18.8,-0.9492367,353.48953,828.4412,-37.575233,38.099384,2.933857,-0.008417509,12.933857,5.236442,-5.236442,0.024737414,-0.04953564,0.8408071
-18.7,0.14899902,0.98883736,10.148999,5.9888372,-10.148999,-0.14899902,-0.99720544,-0.82669914,1.9776747,-2.7862818,-18.7,-54.1,-42.4,18.7,12.35,349.69,-349.69,699.38,359.69,246.49,-6539.203,6539.203,6539.203,-13078.406,-19612.61,-4657.463,8869.743,-6557.903,-6189.513,-7233.583,18.7,4.32435,18.833216,1.1267983,8.7,93.5,-18.7,-0.8398383,349.839,822.7012,-37.3255,37.894417,2.9285235,-0.0084246,12.928523,5.2311087,-5.2311087,0.0736679,-0.14899902,0.83538747
-18.6,0.24697366,0.9690222,10.246974,5.9690223,-10.246974,-0.24697366,-0.99222535,0.3753813,1.9380444,-4.59371,-18.6,-53.8,-42.2,18.6,12.3,345.96,-345.96,691.92,355.96,243.36,-6434.856,6434.856,6434.856,-12869.712,-19299.568,-4574.296,8741.816,-6453.456,-6088.896,-7121.776,18.6,4.312772,18.733927,1.1859777,8.6,93.0,-18.6,-0.7220485,346.20697,816.99097,-37.07651,37.68451,2.9231615,-0.008431703,12.9231615,5.2257466,-5.2257466,0.11966148,-0.24697366,0.8243326
-18.5,0.34248063,0.9395249,10.342481,5.939525,-10.342481,-0.34248063,-0.9847652,0.1825695,1.8790498,-6.3358912,-18.5,-53.5,-42.0,18.5,12.25,342.25,-342.25,684.5,352.25,240.25,-6331.625,6331.625,6331.625,-12663.25,-18989.875,-4492.125,8615.125,-6350.125,-5989.375,-7011.125,18.5,4.3011627,18.634645,1.2251877,8.5,92.5,-18.5,-0.5970443,342.59247,811.3105,-36.82876,37.46976,2.9177706,-0.008438818,12.91777,5.220356,-5.220356,0.16088453,-0.34248063,0.8072778
-18.4,0.43456563,0.9006402,10.434566,5.90064,-10.434566,-0.43456563,-0.9748436,-0.6683636,1.8012804,-7.9960074,-18.4,-53.2,-41.8,18.4,12.2,338.56,-338.56,677.12,348.56,237.16,-6229.504,6229.504,6229.504,-12459.008,-18683.512,-4410.944,8489.664,-6247.904,-5890.944,-6901.624,18.4,4.289522,18.535372,1.2457184,8.4,92.0,-18.4,-0.46607456,338.99457,805.65936,-36.582718,37.25032,2.9123507,-0.008445946,12.912351,5.214936,-5.214936,0.19569363,-0.43456563,0.78372467
-18.3,0.5223086,0.85275656,10.522308,5.8527565,-10.522308,-0.5223086,-0.9624855,0.95221686,1.7055131,-9.558248,-18.3,-52.9,-41.6,18.3,12.15,334.89,-334.89,669.78,344.89,234.09,-6128.487,6128.487,6128.487,-12256.974,-18380.46,-4330.747,8365.427,-6146.787,-5793.597,-6793.267,18.3,4.27785,18.436106,1.2495023,8.3,91.5,-18.3,-0.33044797,335.41232,800.03723,-36.338844,37.02638,2.9069011,-0.008453085,12.906901,5.209486,-5.209486,0.22270104,-0.5223086,0.7530968
-18.2,0.6048328,0.79635245,10.604833,5.7963524,-10.604833,-0.6048328,-0.9477216,-0.98045707,1.5927049,-11.007957,-18.2,-52.6,-41.4,18.2,12.1,331.24,-331.24,662.48,341.24,231.04,-6028.568,6028.568,6028.568,-12057.136,-18080.703,-4251.528,8242.408,-6046.768,-5697.328,-6686.048,18.2,4.2661457,18.336847,1.2390101,8.2,91.0,-18.2,-0.19151965,331.84482,794.44366,-36.097584,36.798176,2.9014215,-0.008460237,12.901422,5.2040067,-5.2040067,0.24083005,-0.6048328,0.7148101
-18.1,0.68131375,0.73199147,10.6813135,5.7319913,-10.6813135,-0.68131375,-0.9305889,0.77351207,1.4639829,-12.3317795,-18.1,-52.3,-41.2,18.1,12.05,327.61,-327.61,655.22,337.61,228.01,-5929.741,5929.741,5929.741,-11859.482,-17784.223,-4173.281,8120.601,-5947.841,-5602.131,-6579.961,18.1,4.2544093,18.237598,1.2171253,8.1,90.5,-18.1,-0.05067773,328.29132,788.878,-35.859344,36.565994,2.895912,-0.0084674,12.895912,5.198497,-5.198497,0.24935794,-0.68131375,0.6683523
-18.0,0.75098723,0.6603167,10.750987,5.660317,-10.750987,-0.75098723,-0.91113025,-0.40406522,1.3206334,-13.517771,-18.0,-52.0,-41.0,18.0,12.0,324.0,-324.0,648.0,334.0,225.0,-5832.0,5832.0,5832.0,-11664.0,-17491.0,-4096.0,8000.0,-5850.0,-5508.0,-6475.0,18.0,4.2426405,18.138357,1.1870054,8.0,90.0,-18.0,0.09067054,324.75098,783.33966,-35.624508,36.33016,2.8903718,-0.008474576,12.890371,5.192957,-5.192957,0.24794471,-0.75098723,0.613367
-17.9,0.81315714,0.58204424,10.813157,5.582044,-10.813157,-0.81315714,-0.8893942,-0.032444973,1.1640885,-14.555512,-17.9,-51.7,-40.8,17.9,11.95,320.41,-320.41,640.82,330.41,222.01,-5735.339,5735.339,5735.339,-11470.678,-17201.018,-4019.679,7880.599,-5753.239,-5414.929,-6371.159,17.9,4.2308393,18.039124,1.1519326,7.9,89.5,-17.9,0.23111285,321.22314,777.82794,-35.39342,36.091022,2.8848007,-0.008481764,12.884801,5.187386,-5.187386,0.23664671,-0.81315714,0.54973274
-17.8,0.86720216,0.49795622,10.867202,5.4979563,-10.867202,-0.86720216,-0.8654352,0.44471678,0.99591243,-15.436199,-17.8,-51.4,-40.6,17.8,11.9,316.84,-316.84,633.68,326.84,219.04,-5639.752,5639.752,5639.752,-11279.504,-16914.256,-3944.312,7762.392,-5657.552,-5322.912,-6268.432,17.8,4.2190046,17.9399,1.1151626,7.8,89.0,-17.8,0.36924598,317.7072,772.34204,-35.166397,35.84898,2.8791986,-0.008488964,12.879198,5.1817837,-5.1817837,0.21591435,-0.86720216,0.47763094
-17.7,0.91258246,0.40889275,10.912582,5.4088926,-10.912582,-0.91258246,-0.83931303,-0.76385504,0.8177855,-16.15271,-17.7,-51.1,-40.4,17.7,11.85,313.29,-313.29,626.58,323.29,216.09,-5545.233,5545.233,5545.233,-11090.466,-16630.7,-3869.893,7645.373,-5562.933,-5231.943,-6166.813,17.7,4.2071366,17.840683,1.0797757,7.7,88.5,-17.7,0.5036897,314.20258,766.8811,-34.94371,35.604446,2.8735647,-0.008496176,12.873565,5.17615,-5.17615,0.18657418,-0.91258246,0.3975936
-17.6,0.9488445,0.31574374,10.948845,5.315744,-10.948845,-0.9488445,-0.81109303,0.951376,0.6314875,-16.699663,-17.6,-50.8,-40.2,17.6,11.8,309.76,-309.76,619.52,319.76,213.16,-5451.776,5451.776,5451.776,-10903.552,-16350.328,-3796.416,7529.536,-5469.376,-5142.016,-6066.296,17.6,4.1952353,17.741476,1.0485386,7.6,88.0,-17.6,0.63310075,310.70883,761.4443,-34.72558,35.357872,2.867899,-0.008503402,12.867899,5.170484,-5.170484,0.14979586,-0.9488445,0.31052354
-17.5,0.975626,0.21943997,10.975626,5.21944,-10.975626,-0.975626,-0.7808457,-0.9984723,0.43887994,-17.073456,-17.5,-50.5,-40.0,17.5,11.75,306.25,-306.25,612.5,316.25,210.25,-5359.375,5359.375,5359.375,-10718.75,-16073.125,-3723.875,7414.875,-5376.875,-5053.125,-5966.875,17.5,4.1833,17.642279,1.0237799,7.5,87.5,-17.5,0.75618607,307.22562,756.0306,-34.512188,35.10972,2.862201,-0.008510638,12.862201,5.164786,-5.164786,0.107045665,-0.975626,0.21768305
-17.4,0.9926594,0.1209436,10.99266,5.1209435,-10.99266,-0.9926594,-0.7486466,0.91961735,0.2418872,-17.272274,-17.4,-50.2,-39.8,17.4,11.7,302.76,-302.76,605.52,312.76,207.36,-5268.024,5268.024,5268.024,-10536.048,-15799.072,-3652.264,7301.384,-5285.424,-4965.264,-5868.544,17.4,4.171331,17.543089,1.0072868,7.4,87.0,-17.4,0.8717158,303.75266,750.63904,-34.30367,34.860474,2.85647,-0.008517887,12.85647,5.159055,-5.159055,0.0600279,-0.9926594,0.120648965
-17.3,0.99977446,0.021238808,10.999774,5.021239,-10.999774,-0.99977446,-0.71457636,-0.7437734,0.042477615,-17.296097,-17.3,-49.9,-39.6,17.3,11.65,299.29,-299.29,598.58,309.29,204.49,-5177.717,5177.717,5177.717,-10355.434,-15528.151,-3581.577,7189.057,-5195.017,-4878.427,-5771.297,17.3,4.159327,17.44391,1.0002255,7.3,86.5,-17.3,0.97853565,300.28976,745.26874,-34.100113,34.61062,2.8507066,-0.008525149,12.850706,5.1532917,-5.1532917,0.010617008,-0.99977446,0.021237211
-17.2,0.9969001,-0.0786782,10.9969,4.921322,-10.9969,-0.9969001,-0.67872006,0.50578403,-0.1573564,-17.14668,-17.2,-49.6,-39.4,17.2,11.6,295.84,-295.84,591.68,305.84,201.64,-5088.448,5088.448,5088.448,-10176.896,-15260.344,-3511.808,7077.888,-5105.648,-4792.608,-5675.128,17.2,4.1472883,17.34474,1.0030904,7.2,86.0,-17.2,1.0755782,296.8369,739.9187,-33.90155,34.36066,2.8449094,-0.0085324235,12.84491,5.1474943,-5.1474943,-0.039217148,-0.9969001,-0.07859705
-17.1,0.984065,-0.17780907,10.984065,4.8221908,-10.984065,-0.984065,-0.6411673,-0.23953144,-0.35561815,-16.82751,-17.1,-49.3,-39.2,17.1,11.55,292.41,-292.41,584.82,302.41,198.81,-5000.211,5000.211,5000.211,-10000.422,-14995.633,-3442.951,6967.871,-5017.311,-4707.801,-5580.031,17.1,4.135215,17.245579,1.015681,7.1,85.5,-17.1,1.161874,293.39407,734.5878,-33.707966,34.111095,2.8390784,-0.008539709,12.839079,5.1416636,-5.1416636,-0.08748784,-0.984065,-0.17687361
-17.0,0.96139747,-0.27516335,10.961397,4.724837,-10.961397,-0.96139747,-0.6020119,-0.02652102,-0.5503267,-16.343758,-17.0,-49.0,-39.0,17.0,11.5,289.0,-289.0,578.0,299.0,196.0,-4913.0,4913.0,4913.0,-9826.0,-14734.0,-3375.0,6859.0,-4930.0,-4624.0,-5486.0,17.0,4.1231055,17.14643,1.0371124,7.0,85.0,-17.0,1.2365608,289.9614,729.27515,-33.519302,33.86242,2.8332133,-0.008547009,12.833214,5.1357985,-5.1357985,-0.13227068,-0.96139747,-0.27170414
-16.9,0.929124,-0.36976826,10.929124,4.630232,-10.929124,-0.929124,-0.56135184,0.27148098,-0.7395365,-15.702196,-16.9,-48.7,-38.8,16.9,11.45,285.61,-285.61,571.22,295.61,193.21,-4826.809,4826.809,4826.809,-9653.618,-14475.427,-3307.949,6751.269,-4843.709,-4541.199,-5393.029,16.9,4.110961,17.047287,1.0658525,6.9,84.5,-16.9,1.2988923,286.53912,723.9798,-33.335438,33.615116,2.8273137,-0.00855432,12.827313,5.1298985,-5.1298985,-0.17178029,-0.929124,-0.36139938
-16.8,0.88756704,-0.46067858,10.887567,4.5393214,-10.887567,-0.88756704,-0.51928866,-0.48235294,-0.92135715,-14.911126,-16.8,-48.4,-38.6,16.8,11.4,282.24,-282.24,564.48,292.24,190.44,-4741.632,4741.632,4741.632,-9483.264,-14219.896,-3241.792,6644.672,-4758.432,-4459.392,-5301.112,16.8,4.09878,16.948156,1.0997918,6.8,84.0,-16.8,1.3482456,283.12756,718.7007,-33.156216,33.36966,2.821379,-0.008561644,12.821379,5.123964,-5.123964,-0.20444156,-0.88756704,-0.44455606
-16.7,0.83714175,-0.546986,10.837142,4.453014,-10.837142,-0.83714175,-0.47592753,0.653157,-1.093972,-13.980268,-16.7,-48.1,-38.4,16.7,11.35,278.89,-278.89,557.78,288.89,187.69,-4657.463,4657.463,4657.463,-9314.926,-13967.389,-3176.523,6539.203,-4674.163,-4378.573,-5210.243,16.7,4.086563,16.849035,1.1363354,6.7,83.5,-16.7,1.3841277,279.72714,713.437,-32.98143,33.126507,2.8154087,-0.008568981,12.815409,5.117994,-5.117994,-0.22895241,-0.83714175,-0.5201153
-16.6,0.7783521,-0.62782806,10.778352,4.372172,-10.778352,-0.7783521,-0.43137684,-0.78342235,-1.2556561,-12.920645,-16.6,-47.8,-38.2,16.6,11.3,275.56,-275.56,551.12,285.56,184.96,-4574.296,4574.296,4574.296,-9148.592,-13717.888,-3112.136,6434.856,-4590.896,-4298.736,-5120.416,16.6,4.07431,16.749926,1.1725202,6.6,83.0,-16.6,1.4061801,276.33835,708.1878,-32.810825,32.886086,2.8094027,-0.008576329,12.809402,5.1119876,-5.1119876,-0.24433562,-0.7783521,-0.58738834
-16.5,0.7117853,-0.70239705,10.711785,4.297603,-10.711785,-0.7117853,-0.38574794,0.87650865,-1.4047941,-11.744458,-16.5,-47.5,-38.0,16.5,11.25,272.25,-272.25,544.5,282.25,182.25,-4492.125,4492.125,4492.125,-8984.25,-13471.375,-3048.625,6331.625,-4508.625,-4219.875,-5031.625,16.5,4.0620193,16.650826,1.205147,6.5,82.5,-16.5,1.4141824,272.9618,702.9524,-32.644108,32.6488,2.8033605,-0.008583691,12.80336,5.1059456,-5.1059456,-0.24997796,-0.7117853,-0.6460492
-16.4,0.6381067,-0.76994795,10.638106,4.230052,-10.638106,-0.6381067,-0.33915487,-0.9380532,-1.5398959,-10.46495,-16.4,-47.2,-37.8,16.4,11.2,268.96,-268.96,537.92,278.96,179.56,-4410.944,4410.944,4410.944,-8821.888,-13227.832,-2985.984,6229.504,-4427.344,-4141.984,-4943.864,16.4,4.049691,16.551737,1.2309265,6.4,82.0,-16.4,1.4080546,269.5981,697.7299,-32.480946,32.415028,2.7972813,-0.008591065,12.797281,5.0998664,-5.0998664,-0.24565446,-0.6381067,-0.69609785
-16.3,0.55805224,-0.8298058,10.558052,4.170194,-10.558052,-0.55805224,-0.29171407,0.97470015,-1.6596116,-9.096252,-16.3,-46.9,-37.6,16.3,11.15,265.69,-265.69,531.38,275.69,176.89,-4330.747,4330.747,4330.747,-8661.494,-12987.241,-2924.207,6128.487,-4347.047,-4065.057,-4857.127,16.3,4.037326,16.45266,1.24663,6.3,81.5,-16.3,1.387858,266.24805,692.5198,-32.320972,32.185097,2.791165,-0.008598452,12.791165,5.09375,-5.09375,-0.2315375,-0.55805224,-0.7378003
-16.2,0.47242197,-0.8813725,10.472422,4.1186275,-10.472422,-0.47242197,-0.24354415,-0.99316174,-1.762745,-7.6532364,-16.2,-46.6,-37.4,16.2,11.1,262.44,-262.44,524.88,272.44,174.24,-4251.528,4251.528,4251.528,-8503.056,-12749.584,-2863.288,6028.568,-4267.728,-3989.088,-4771.408,16.2,4.0249224,16.353594,1.2492394,6.2,81.0,-16.2,1.3537945,262.9124,687.32135,-32.163788,31.959314,2.7850113,-0.008605852,12.785011,5.0875964,-5.0875964,-0.20818987,-0.47242197,-0.77161264
-16.1,0.3820714,-0.9241328,10.3820715,4.075867,-10.3820715,-0.3820714,-0.1947655,0.9995909,-1.8482656,-6.15135,-16.1,-46.3,-37.2,16.1,11.05,259.21,-259.21,518.42,269.21,171.61,-4173.281,4173.281,4173.281,-8346.562,-12514.843,-2803.221,5929.741,-4189.381,-3914.071,-4686.701,16.1,4.0124807,16.254538,1.2360928,6.1,80.5,-16.1,1.3062042,259.59207,682.13416,-32.008965,31.737934,2.7788193,-0.008613264,12.778819,5.081404,-5.081404,-0.17654237,-0.3820714,-0.79809856
-16.0,0.2879033,-0.9576595,10.287904,4.0423408,-10.287904,-0.2879033,-0.14550003,-0.99920803,-1.915319,-4.606453,-16.0,-46.0,-37.0,16.0,11.0,256.0,-256.0,512.0,266.0,169.0,-4096.0,4096.0,4096.0,-8192.0,-12283.0,-2744.0,5832.0,-4112.0,-3840.0,-4603.0,16.0,4.0,16.155495,1.205015,6.0,80.0,-16.0,1.2455628,256.2879,676.95764,-31.856049,31.52117,2.7725887,-0.00862069,12.772589,5.075174,-5.075174,-0.13785668,-0.2879033,-0.817847
-15.9,0.19085859,-0.98161757,10.190859,4.0183825,-10.190859,-0.19085859,-0.09587089,0.99611217,-1.9632351,-3.0346515,-15.9,-45.7,-36.8,15.9,10.95,252.81,-252.81,505.62,262.81,166.41,-4019.679,4019.679,4019.679,-8039.358,-12054.037,-2685.619,5735.339,-4035.579,-3766.869,-4520.299,15.9,3.9874804,16.056463,1.1544316,5.9,79.5,-15.9,1.1724762,253.00085,671.7916,-31.70457,31.30919,2.766319,-0.008628128,12.766319,5.0689044,-5.0689044,-0.09367507,-0.19085859,-0.8313973
-15.8,0.09190685,-0.9957676,10.091907,4.0042324,-10.091907,-0.09190685,-0.046002127,-0.99320805,-1.9915352,-1.4521283,-15.8,-45.4,-36.6,15.8,10.9,249.64,-249.64,499.28,259.64,163.84,-3944.312,3944.312,3944.312,-7888.624,-11827.936,-2628.072,5639.752,-3960.112,-3694.672,-4438.592,15.8,3.9749215,15.957443,1.08346,5.8,79.0,-15.8,1.0876745,249.7319,666.63574,-31.554047,31.102116,2.76001,-0.008635579,12.76001,5.062595,-5.062595,-0.045758933,-0.09190685,-0.83917665
-15.7,-0.007963183,-0.9999683,9.992037,4.0000315,-9.992037,0.007963183,0.0039816233,0.9921948,-1.9999366,0.12502198,-15.7,-45.1,-36.4,15.7,10.85,246.49,-246.49,492.98,256.49,161.29,-3869.893,3869.893,3869.893,-7739.786,-11604.679,-2571.353,5545.233,-3885.593,-3623.403,-4357.873,15.7,3.9623225,15.858437,0.9919734,5.7,78.5,-15.7,0.9920051,246.48204,661.49,-31.403982,30.900017,2.7536607,-0.008643042,12.753661,5.056246,-5.056246,0.0039814655,0.007963183,-0.84145385
-15.6,-0.10775365,-0.99417764,9.892246,4.005822,-9.892246,0.10775365,0.05395542,-0.99357367,-1.9883553,1.680957,-15.6,-44.8,-36.2,15.6,10.8,243.36,-243.36,486.72,253.36,158.76,-3796.416,3796.416,3796.416,-7592.832,-11384.248,-2515.456,5451.776,-3812.016,-3553.056,-4278.136,15.6,3.9496834,15.759441,0.8806355,5.6,78.0,-15.6,0.88642395,243.25224,656.3542,-31.253878,30.702911,2.7472708,-0.008650519,12.747271,5.049856,-5.049856,0.053563137,0.10775365,-0.8383109
-15.5,-0.20646748,-0.97845346,9.793532,4.0215464,-9.793532,0.20646748,0.10379436,0.99665314,-1.9569069,3.2002459,-15.5,-44.5,-36.0,15.5,10.75,240.25,-240.25,480.5,250.25,156.25,-3723.875,3723.875,3723.875,-7447.75,-11166.625,-2460.375,5359.375,-3739.375,-3483.625,-4199.375,15.5,3.9370039,15.6604595,0.7509037,5.5,77.5,-15.5,0.771986,240.04353,651.22845,-31.103233,30.510773,2.74084,-0.008658009,12.74084,5.043425,-5.043425,0.10100941,0.20646748,-0.8296349
-15.4,-0.30311835,-0.9529529,9.696881,4.047047,-9.696881,0.30311835,0.15337387,-0.99954265,-1.9059058,4.6680226,-15.4,-44.2,-35.8,15.4,10.7,237.16,-237.16,474.32,247.16,153.76,-3652.264,3652.264,3652.264,-7304.528,-10951.792,-2406.104,5268.024,-3667.664,-3415.104,-4121.584,15.4,3.9242833,15.561491,0.6050009,5.4,77.0,-15.4,0.6498346,236.85689,646.113,-30.95156,30.323524,2.7343676,-0.008665511,12.734367,5.0369525,-5.0369525,0.14442876,0.30311835,-0.81512964
-15.3,-0.3967406,-0.9179308,9.603259,4.0820694,-9.603259,0.3967406,0.20257,0.9991453,-1.8358616,6.070131,-15.3,-43.9,-35.6,15.3,10.65,234.09,-234.09,468.18,244.09,151.29,-3581.577,3581.577,3581.577,-7163.154,-10739.731,-2352.637,5177.717,-3596.877,-3347.487,-4044.757,15.3,3.9115214,15.462535,0.44585633,5.3,76.5,-15.3,0.5211902,233.69325,641.00793,-30.79837,30.141035,2.7278528,-0.008673027,12.727853,5.030438,-5.030438,0.1820902,0.3967406,-0.79434633
-15.2,-0.4863987,-0.873737,9.513601,4.126263,-9.513601,0.4863987,0.25125983,-0.9911765,-1.747474,7.39326,-15.2,-43.6,-35.4,15.2,10.6,231.04,-231.04,462.08,241.04,148.84,-3511.808,3511.808,3511.808,-7023.616,-10530.424,-2299.968,5088.448,-3527.008,-3280.768,-3968.888,15.2,3.8987176,15.363593,0.27701762,5.2,76.0,-15.2,0.38733828,230.5536,635.91376,-30.6432,29.96313,2.7212954,-0.008680556,12.721295,5.0238805,-5.0238805,0.21249226,0.4863987,-0.7667333
